kelas_id,dosen_id,weight,utama
2024203632,796,20,false
2022258725,525,10,true
2022262945,395,10,true
2022226537,1200,20,false
2022226537,2809,30,false
2022226537,919,10,true
2022240627,1200,20,false
2022233258,265,10,true
2021140311,594,10,true
2021149951,441,10,true
2021105609,1423,10,true
2021148388,335,10,true
2021173552,554,10,true
2021182017,1259,20,false
2021182017,287,10,true
2021181167,475,10,true
2021130375,891,10,true
2021170668,1265,20,false
2021170668,151,10,true
2021192967,482,10,true
2021129233,336,10,true
2021180427,930,10,true
2021145191,430,10,true
2021120650,533,10,true
2021126391,949,10,true
2021143873,403,10,true
2021155578,205,10,true
2021150077,543,10,true
2021117170,285,10,true
2021110730,283,10,true
2021124016,798,10,true
2021147013,710,10,true
2021182483,882,10,true
2021130475,930,10,true
2021116864,1266,10,true
2021133696,533,10,true
2021144788,563,10,true
2021114232,772,10,true
2021171091,1255,20,false
2021171091,335,10,true
2021195133,683,10,true
2021114961,1133,20,false
2021114961,891,10,true
2021198523,772,10,true
2021178918,284,10,true
2021131387,798,10,true
2021187465,963,10,true
2021164027,426,10,true
2021192372,545,10,true
2021145499,712,10,true
2021164218,896,10,true
2021110049,1096,20,false
2021110049,712,10,true
2021196593,593,10,true
2021186544,905,10,true
2021169862,905,10,true
2021183009,882,10,true
2021136718,284,10,true
2021102568,1096,10,true
2021132587,105,10,true
2021180032,1777,20,false
2021180032,527,10,true
2021153634,763,20,false
2021153634,368,10,true
2021157421,1431,20,false
2021157421,87,10,true
2022229830,395,10,true
2021129931,1200,20,false
2021129931,592,10,true
2021150015,431,10,true
2021127008,129,20,false
2021127008,395,10,true
2021101905,1200,20,false
2021101905,129,10,true
2021165962,395,10,true
2021165962,22,20,false
2021170376,1660,200,false
2021150015,955,200,false
2022290083,395,10,true
2021170376,41,10,true
2021152537,207,10,true
2021181234,482,10,true
2021157829,1259,10,true
2021131778,437,10,true
2021135684,980,20,false
2021135684,989,10,true
2021146571,1743,20,false
2021146571,644,10,true
2021145739,888,200,false
2021160746,762,10,true
2021111054,638,10,true
2021145739,311,30,false
2021145739,22,10,true
2021167044,525,10,true
2021107407,265,10,true
2021189212,1222,200,false
2021189212,587,10,true
2021127364,147,10,true
2021114118,1222,200,false
2021114118,41,10,true
2021166917,684,10,true
2021119893,437,10,true
2021151994,922,10,true
2021111396,393,10,true
2021178835,794,10,true
2021128706,1169,10,true
2021183969,782,10,true
2021149988,1266,10,true
2021100595,713,10,true
2021191711,956,10,true
2021129602,1260,10,true
2021158453,1168,20,false
2021135508,4637,20,false
2021135508,594,10,true
2021152136,1777,20,false
2021152136,151,10,true
2021191711,1803,20,false
2021142208,752,10,true
2021136561,545,10,true
2021190072,644,10,true
2021117133,949,10,true
2021123492,1070,10,true
2021198474,1255,10,true
2021137939,569,10,true
2021173799,782,10,true
2021113196,1259,10,true
2021188864,1070,10,true
2021166787,683,10,true
2021129652,956,10,true
2021162789,426,10,true
2021172417,337,10,true
2021153816,1260,20,false
2021153816,949,10,true
2021191465,1363,10,true
2021107292,928,20,false
2021107292,151,10,true
2021161793,1168,10,true
2021168770,403,10,true
2021191848,1363,10,true
2021108439,1093,10,true
2021150875,712,10,true
2021126290,207,10,true
2021153179,400,10,true
2021142046,1743,20,false
2021142046,1255,10,true
2021102786,336,10,true
2021110187,1133,10,true
2021191326,1093,10,true
2021130125,963,10,true
2021158160,283,10,true
2021187817,710,20,false
2021187817,430,10,true
2021128131,205,10,true
2021187368,1133,10,true
2021154602,752,10,true
2021147756,896,10,true
2021111029,430,10,true
2021151070,287,10,true
2021103910,225,10,true
2021162851,1423,10,true
2021158453,683,10,true
2021124387,4637,20,false
2021124387,426,10,true
2021126123,1266,20,false
2021126123,1096,10,true
2021175477,1743,20,false
2021175477,713,10,true
2021140605,882,20,false
2021189684,4637,20,false
2021189684,393,10,true
2021126198,1803,20,false
2021126198,563,10,true
2021186654,1803,20,false
2021186654,772,10,true
2021133725,593,10,true
2021133725,905,20,false
2021140605,533,10,true
2021175837,297,30,false
2021175837,762,20,false
2021175837,552,10,true
2021137968,888,20,false
2021159967,1265,10,true
2021121829,930,10,true
2021191401,930,20,false
2021191401,891,10,true
2021160746,638,20,false
2021160746,796,500,false
2021169767,644,10,true
2021111054,2809,300,false
2021111054,1376,400,false
2021160746,1533,30,false
2021160746,2809,400,false
2021111054,1533,20,false
2021137968,265,10,true
2021170376,2878,300,false
2021114118,2878,300,false
2021247310,1533,20,false
2021247310,1376,30,false
2021247310,638,10,true
2021281509,1233,20,false
2021281509,370,10,true
2021267000,1200,20,false
2021267000,1379,30,false
2021267000,1660,40,false
2021267000,129,10,true
2021274542,1379,20,false
2021274542,592,10,true
2021213445,989,20,false
2021213445,525,10,true
2021208482,1376,20,false
2021208482,587,10,true
2021207278,525,10,true
2021297967,762,20,false
2021297967,395,10,true
2021282422,395,10,true
2021257600,1200,20,false
2021294962,395,10,true
2021214197,1200,20,false
2021214197,919,10,true
2021229754,265,10,true
2021285890,265,10,true
2021288750,265,10,true
2021284548,763,10,true
2021222267,955,10,true
2021221569,533,10,true
2021206932,782,10,true
2021268477,1169,10,true
2021251092,105,10,true
2021293682,437,10,true
2021254065,594,10,true
2021281097,337,10,true
2021203983,1743,20,false
2021203983,569,10,true
2021244605,593,10,true
2021270202,207,10,true
2021269907,482,10,true
2021233716,1265,10,true
2021254357,930,10,true
2021261458,4637,10,true
2021234605,713,10,true
2021262424,1803,20,false
2021262424,437,10,true
2021244991,283,10,true
2021278360,782,20,false
2021278360,684,30,false
2021278360,441,10,true
2021277018,1265,20,false
2021277018,475,10,true
2021280574,949,10,true
2021217995,794,10,true
2021226623,712,10,true
2021278697,963,10,true
2021208975,441,10,true
2021292819,554,10,true
2021236604,1423,10,true
2021236657,282,10,true
2021267660,403,10,true
2021220844,684,10,true
2021216267,1260,10,true
2021214193,533,10,true
2021235490,713,10,true
2021273043,644,20,false
2021273043,336,10,true
2021259740,772,10,true
2021202427,1096,10,true
2021208608,1255,20,false
2021208608,545,10,true
2021241227,593,10,true
2021291445,283,10,true
2021226580,798,10,true
2021259232,430,10,true
2021217196,1133,20,false
2021217196,475,10,true
2021218127,772,10,true
2021244899,393,10,true
2021281695,437,10,true
2021273986,335,10,true
2021287998,284,10,true
2021207423,207,10,true
2021260726,1259,10,true
2021282564,905,10,true
2021274608,905,10,true
2021232130,1266,20,false
2021232130,482,10,true
2021225410,930,20,false
2021225410,1259,30,false
2021225410,400,10,true
2021211955,905,10,true
2021205934,563,10,true
2021205790,794,10,true
2021204800,922,10,true
2021225344,393,10,true
2021269155,400,10,true
2021250774,1169,10,true
2021295316,282,10,true
2021219872,1093,10,true
2021281891,287,10,true
2021296385,284,10,true
2021247511,225,10,true
2021201444,205,10,true
2021240054,569,10,true
2021224042,930,10,true
2021233283,1423,20,false
2021233283,891,10,true
2021220034,441,10,true
2021256718,1803,20,false
2021256718,930,10,true
2021273563,593,20,false
2021273563,782,10,true
2021209760,922,10,true
2021287153,956,20,false
2021287153,337,10,true
2021207032,1093,10,true
2021234667,644,10,true
2021285891,1266,10,true
2021268893,1070,10,true
2021210908,336,10,true
2021273237,896,10,true
2021248269,713,10,true
2021231492,403,10,true
2021251210,1265,10,true
2021217337,1070,10,true
2021231707,949,10,true
2021224175,430,10,true
2021222689,882,10,true
2021283768,1423,10,true
2021260380,1743,20,false
2021260380,282,10,true
2021287574,1168,10,true
2021286915,4637,20,false
2021259033,430,10,true
2021286915,683,10,true
2021257991,1255,20,false
2021257991,475,10,true
2021252478,963,20,false
2021252478,207,10,true
2021216008,426,10,true
2021296391,1133,10,true
2021250903,712,10,true
2021239459,683,10,true
2021268073,1803,20,false
2021268073,533,10,true
2021290462,882,10,true
2021294561,545,10,true
2021203435,4637,20,false
2021203435,905,10,true
2021296186,1363,10,true
2021260111,710,10,true
2021246380,1096,10,true
2021259033,2825,20,false
2021211955,2825,20,false
2021209760,2825,20,false
2021256805,928,20,false
2021256805,1133,10,true
2021222647,1743,20,false
2021222647,1260,10,true
2021202077,1259,10,true
2021246493,1260,10,true
2021232216,1363,10,true
2021291722,752,10,true
2021269110,644,10,true
2021272922,1266,10,true
2021297552,956,10,true
2021244302,563,10,true
2021263911,594,10,true
2021264175,1070,20,false
2021264175,712,10,true
2021275598,543,10,true
2021294962,762,20,false
2021214197,2809,30,false
2021257600,2809,30,false
2021246380,1777,20,false
2021203401,798,10,true
2021229754,1108,20,false
2021285890,1108,20,false
2021288750,1108,20,false
2021284548,1108,20,false
2021222267,1108,20,false
2021257600,587,10,true
2021211424,882,10,true
2022229830,762,20,false
2022290083,1379,20,false
2022141155,763,20,false
2022179227,1431,20,false
2022179227,87,10,true
2022160153,395,10,true
2022141155,368,10,true
2022160077,1200,20,false
2022160077,592,10,true
2022116856,1660,20,false
2022116856,41,10,true
2022180301,762,20,false
2022180301,297,30,false
2022180301,552,10,true
2022155163,955,20,false
2022155163,431,10,true
2022182409,395,10,true
2022173924,980,20,false
2022173924,989,10,true
2022129841,265,10,true
2022166405,265,10,true
2022118745,147,10,true
2022158488,989,20,false
2022158488,525,10,true
2022192762,1533,20,false
2022192762,1376,30,false
2022192762,638,10,true
2022107638,311,20,false
2022107638,888,10,true
2022182263,1222,20,false
2022182263,587,10,true
2022199039,265,10,true
2022195683,441,10,true
2022123925,782,10,true
2022198593,1423,10,true
2022127316,335,10,true
2022156005,554,10,true
2022143969,1259,20,false
2022143969,287,10,true
2022117169,475,10,true
2022165344,891,10,true
2022153635,1133,20,false
2022153635,208,10,true
2022116939,336,10,true
2022190502,4637,10,true
2022122164,543,10,true
2022140711,430,60,false
2022140711,400,70,false
2022140711,105,20,false
2022140711,205,30,false
2022140711,1259,40,false
2022140711,441,50,false
2022140711,798,10,true
2022168037,533,10,true
2022193223,949,10,true
2022167248,930,10,true
2022121543,403,10,true
2022149073,205,10,true
2022193358,594,10,true
2022103169,285,10,true
2022114409,644,10,true
2022149995,1743,20,false
2022149995,437,10,true
2022195877,798,10,true
2022119383,283,10,true
2022192131,710,10,true
2022186144,882,10,true
2022151200,1133,10,true
2022157426,2825,20,false
2022157426,905,10,true
2022132075,1363,20,false
2022132075,533,10,true
2022104851,437,20,false
2022104851,563,10,true
2022188871,284,20,false
2022188871,905,30,false
2022188871,922,10,true
2022144796,1255,20,false
2022144796,335,10,true
2022170464,683,10,true
2022106127,1133,20,false
2022106127,891,10,true
2022172880,772,10,true
2022145013,284,10,true
2022111877,794,20,false
2022111877,798,10,true
2022108145,963,10,true
2022196495,426,10,true
2022193310,545,10,true
2022142185,712,10,true
2022121898,896,10,true
2022159976,207,10,true
2022174253,1259,10,true
2022199997,1096,20,false
2022199997,712,10,true
2022175352,593,10,true
2022109222,905,10,true
2022159272,905,10,true
2022113905,644,20,false
2022113905,882,10,true
2022193081,393,20,false
2022193081,225,30,false
2022193081,772,10,true
2022125393,1096,10,true
2022135286,105,10,true
2022164732,1777,20,false
2022164732,527,10,true
2022172752,684,10,true
2022110150,393,10,true
2022123758,1169,10,true
2022129676,794,10,true
2022177340,922,10,true
2022154530,337,10,true
2022108438,594,10,true
2022113414,713,20,false
2022113414,400,10,true
2022146079,207,10,true
2022104860,1260,10,true
2022123466,713,10,true
2022152624,1743,20,false
2022152624,437,10,true
2022150985,336,10,true
2022183006,437,20,false
2022183006,403,10,true
2022130694,1743,20,false
2022130694,882,10,true
2022123466,1777,20,false
2022117493,1093,10,true
2022102515,1168,10,true
2022150670,712,10,true
2022135179,1803,20,false
2022135179,287,10,true
2022180991,426,10,true
2022188461,1070,10,true
2022185500,225,10,true
2022192762,2809,40,false
2022161676,569,10,true
2022150023,772,10,true
2022146321,683,10,true
2022131430,533,10,true
2022122357,284,10,true
2022164236,782,10,true
2022143058,1259,10,true
2022176192,1423,10,true
2022160153,525,20,false
2022188824,1363,10,true
2022184212,1181,20,false
2022184212,905,10,true
2022180631,4637,20,false
2022180631,905,10,true
2022192574,949,10,true
2022131280,1363,10,true
2022103511,1803,20,false
2022103511,710,10,true
2022182409,552,20,false
2022161869,337,20,false
2022159577,543,20,false
2022179854,545,20,false
2022159577,683,10,true
2022179854,956,10,true
2022139360,891,10,true
2022182365,4637,10,true
2022117516,1181,20,false
2022117516,1255,10,true
2022184371,1803,20,false
2022184371,563,10,true
2022111053,928,20,false
2022111053,882,10,true
2022161434,956,10,true
2022149484,1070,10,true
2022140021,1265,20,false
2022140021,896,10,true
2022106332,2825,20,false
2022106332,644,10,true
2022116032,1266,10,true
2022177019,430,10,true
2022106535,2825,20,false
2022106535,1260,10,true
2022179765,475,10,true
2022118155,1093,10,true
2022156859,430,10,true
